what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471664198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471664509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471670563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471671860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471672797
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1354471679795
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1354471680551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471680601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471682031
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1354471682859
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354471682998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1354471699625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354471702302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354471703317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471717299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471719013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471719053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471719498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471719545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471719982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471720216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471720894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471721205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471742622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471742704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471743561
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1354471748622
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354471748961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354471785191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471791077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471791177
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354471791932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471794330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471795864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471795907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471796340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471796386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471796735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471796960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471797630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471797953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471805627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471805687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471806753
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1354471811008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471827124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471827308
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354471827324
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1354471844338
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354471844415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1354471863770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354471866467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354471876306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471878616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471880048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471880085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471880445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471880485
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471880920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471881148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471881774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471882088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354471988621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1354472015077
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354472017168
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1354472039021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1354472041668
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354472059905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1354472074135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472118657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472118759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354472131151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472133437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472134967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472135005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472135357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472135390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472135742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472135968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472136843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472137158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472140630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472141746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472141819
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1354472152970
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354472153228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354472156843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472160444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472161908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472161965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472162356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472162391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472162811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472163075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472164123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472164419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472169760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472170722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472170900
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1354472177003
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354472177211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472187382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472187816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472189585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472196451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472196598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354472214139
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354472214164
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354472219309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354472262997
